"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2022","5.17","5.17","5.24","5.15","4.71M","0.58%"
"06/04/2022","5.14","5.18","5.26","5.13","6.57M","-0.39%"
"05/04/2022","5.16","5.19","5.23","5.15","5.95M","-0.19%"
"04/04/2022","5.17","5.22","5.24","5.16","6.41M","-0.39%"
"01/04/2022","5.19","5.14","5.26","5.12","7.07M","1.17%"
"31/03/2022","5.13","5.19","5.20","5.07","4.02M","-1.16%"
"30/03/2022","5.19","5.19","5.21","5.16","3.24M","0.19%"
"29/03/2022","5.18","5.28","5.29","5.17","6.48M","-1.52%"
"28/03/2022","5.26","5.23","5.33","5.22","7.42M","0.77%"
"25/03/2022","5.22","5.26","5.28","5.21","3.93M","-0.76%"
"24/03/2022","5.26","5.41","5.46","5.26","10.15M","-2.77%"
"23/03/2022","5.41","5.24","5.46","5.21","14.17M","3.24%"
"22/03/2022","5.24","5.23","5.31","5.22","6.17M","0.38%"
"21/03/2022","5.22","5.14","5.26","5.10","6.99M","1.95%"
"18/03/2022","5.12","5.12","5.17","5.10","3.93M","0.20%"
"17/03/2022","5.11","5.11","5.15","5.08","4.76M","0.59%"
"16/03/2022","5.08","5.16","5.27","5.08","8.32M","0.20%"
"15/03/2022","5.07","5.14","5.20","5.06","4.55M","-1.17%"
"14/03/2022","5.13","5.28","5.32","5.11","10.41M","-2.84%"
"11/03/2022","5.28","5.05","5.42","5.05","17.62M","4.97%"
"10/03/2022","5.03","4.84","5.30","4.80","28.63M","4.36%"
"09/03/2022","4.82","4.83","4.89","4.77","5.62M","0.00%"
"08/03/2022","4.82","4.64","4.93","4.61","9.28M","4.10%"
"07/03/2022","4.63","4.72","4.74","4.55","5.17M","-2.94%"
"04/03/2022","4.77","4.89","4.92","4.75","4.46M","-2.45%"
"03/03/2022","4.89","5.01","5.07","4.86","8.91M","-2.20%"
"02/03/2022","5.00","4.97","5.06","4.88","6.35M","0.60%"
"01/03/2022","4.97","4.90","5.11","4.80","9.45M","2.26%"
"28/02/2022","4.86","4.87","4.96","4.81","7.31M","-3.38%"
"25/02/2022","5.03","4.89","5.14","4.75","13.99M","2.86%"
"24/02/2022","4.89","5.04","5.04","4.89","7.20M","-9.94%"
"23/02/2022","5.43","5.58","5.63","5.42","6.55M","-2.16%"
"22/02/2022","5.55","5.60","5.70","5.49","7.33M","-3.48%"
"21/02/2022","5.75","5.65","5.89","5.50","20.94M","2.50%"
"18/02/2022","5.61","5.72","5.86","5.58","9.76M","-3.61%"
"17/02/2022","5.82","6.04","6.08","5.80","10.67M","-3.32%"
"16/02/2022","6.02","6.14","6.22","6.02","7.76M","-1.95%"
"15/02/2022","6.14","5.97","6.17","5.83","18.97M","3.02%"
"14/02/2022","5.96","6.27","6.30","5.94","20.95M","-6.44%"
"11/02/2022","6.37","6.54","6.76","6.31","30.46M","-3.04%"
"10/02/2022","6.57","6.32","7.11","6.32","83.77M","-6.41%"
"09/02/2022","7.02","7.02","7.02","7.02","1.61M","-10.00%"
"08/02/2022","7.80","7.80","7.80","7.80","1.68M","-9.93%"
"07/02/2022","8.65","9.10","9.19","8.65","13.11M","-3.88%"
"04/02/2022","9.00","8.91","9.31","8.81","21.01M","1.92%"
"03/02/2022","8.83","9.23","9.42","8.82","21.53M","-4.33%"
"02/02/2022","9.23","8.74","9.25","8.71","29.09M","7.32%"
"01/02/2022","8.60","8.24","8.68","8.24","17.39M","5.00%"
"31/01/2022","8.19","8.30","8.56","8.18","13.23M","-0.12%"
"28/01/2022","8.20","8.06","8.28","7.93","12.39M","2.24%"
"27/01/2022","8.03","7.64","8.06","7.60","13.30M","4.42%"
"26/01/2022","7.69","7.72","7.83","7.61","7.42M","0.00%"
"25/01/2022","7.69","7.68","7.86","7.55","8.30M","1.72%"
"24/01/2022","7.56","7.65","8.05","7.53","12.72M","-0.79%"
"21/01/2022","7.62","7.74","7.75","7.49","5.31M","-1.55%"
"20/01/2022","7.74","7.50","7.81","7.48","11.31M","3.75%"
"19/01/2022","7.46","7.40","7.56","7.28","7.68M","1.08%"
"18/01/2022","7.38","7.83","7.85","7.38","6.50M","-5.99%"
"17/01/2022","7.85","7.71","8.02","7.71","11.95M","3.02%"
"14/01/2022","7.62","7.35","7.65","7.31","7.45M","3.81%"
"13/01/2022","7.34","7.38","7.45","7.29","5.40M","-0.68%"
"12/01/2022","7.39","7.16","7.41","7.15","9.77M","3.79%"
"11/01/2022","7.12","7.25","7.27","7.09","4.39M","-1.25%"
"10/01/2022","7.21","7.18","7.30","7.12","4.95M","0.56%"
"07/01/2022","7.17","7.19","7.29","7.01","5.30M","0.42%"
"06/01/2022","7.14","7.22","7.29","7.13","5.34M","-2.19%"
"05/01/2022","7.30","7.33","7.38","7.27","4.88M","-0.27%"
"04/01/2022","7.32","7.43","7.48","7.29","6.49M","-1.21%"
"03/01/2022","7.41","7.38","7.51","7.25","6.07M","1.09%"
"31/12/2021","7.33","7.09","7.33","7.08","4.76M","3.39%"
"30/12/2021","7.09","7.23","7.44","7.07","6.26M","-1.50%"
"29/12/2021","7.19","7.47","7.47","7.16","7.40M","-2.17%"
"28/12/2021","7.35","7.54","7.74","7.33","14.51M","0.41%"
"27/12/2021","7.32","7.31","7.37","7.21","6.31M","1.66%"
"24/12/2021","7.20","7.11","7.27","7.04","6.01M","1.41%"
"23/12/2021","7.10","7.29","7.41","6.99","6.89M","-1.25%"
"22/12/2021","7.19","7.22","7.59","6.88","9.42M","-1.10%"
"21/12/2021","7.27","7.46","7.50","6.63","12.20M","3.85%"
"20/12/2021","7.00","7.03","7.49","6.71","13.96M","-5.91%"
"17/12/2021","7.44","8.59","8.69","7.44","18.47M","-9.92%"
"16/12/2021","8.26","8.26","8.35","8.09","9.58M","0.98%"
"15/12/2021","8.18","8.27","8.43","7.99","15.25M","-0.61%"
"14/12/2021","8.23","8.58","8.60","8.20","12.08M","-3.06%"
"13/12/2021","8.49","8.67","8.75","8.48","11.67M","0.47%"
"10/12/2021","8.45","8.29","8.77","8.22","27.22M","3.05%"
"09/12/2021","8.20","7.88","8.41","7.88","24.54M","4.19%"
"08/12/2021","7.87","7.87","8.02","7.85","11.04M","0.38%"
"07/12/2021","7.84","7.98","7.99","7.84","6.85M","-1.01%"
"06/12/2021","7.92","8.06","8.06","7.89","6.45M","-0.50%"
"03/12/2021","7.96","7.93","8.03","7.88","9.20M","1.14%"
"02/12/2021","7.87","7.92","7.98","7.79","7.17M","-0.51%"
"01/12/2021","7.91","8.04","8.13","7.79","9.06M","-1.06%"
"30/11/2021","8.00","7.94","8.17","7.75","29.26M","1.24%"
"29/11/2021","7.90","7.72","7.95","7.65","11.82M","2.36%"
"26/11/2021","7.72","7.86","8.00","7.46","20.50M","-0.36%"
"25/11/2021","7.75","7.29","7.78","7.24","20.96M","7.39%"
"24/11/2021","7.21","7.05","7.27","7.05","13.70M","2.80%"
"23/11/2021","7.02","7.18","7.21","6.83","13.44M","-1.67%"
"22/11/2021","7.14","7.30","7.36","7.14","13.50M","-1.45%"
"19/11/2021","7.24","7.20","7.25","7.09","6.28M","0.58%"
"18/11/2021","7.20","7.09","7.25","7.04","8.08M","2.09%"
"17/11/2021","7.05","7.11","7.17","7.02","5.49M","-0.89%"
"16/11/2021","7.11","7.02","7.26","7.00","8.72M","1.30%"
"15/11/2021","7.02","7.04","7.09","6.98","5.44M","0.10%"
"12/11/2021","7.02","7.13","7.21","7.00","5.60M","-1.86%"
"11/11/2021","7.15","7.14","7.28","7.10","3.71M","-0.10%"
"10/11/2021","7.16","7.22","7.32","7.14","5.32M","-0.78%"
"09/11/2021","7.21","7.02","7.37","6.99","9.28M","2.70%"
"08/11/2021","7.02","7.06","7.14","6.98","5.03M","-0.20%"
"05/11/2021","7.04","6.97","7.07","6.82","7.15M","0.95%"
"04/11/2021","6.97","7.18","7.21","6.93","8.34M","-0.84%"
"03/11/2021","7.03","6.91","7.11","6.74","16.35M","2.16%"
"02/11/2021","6.88","6.85","6.97","6.82","9.05M","1.87%"
"01/11/2021","6.75","6.59","6.83","6.59","17.07M","5.48%"
"28/10/2021","6.40","6.45","6.45","6.35","1.17M","0.00%"
"27/10/2021","6.41","6.33","6.45","6.30","5.14M","1.97%"
"26/10/2021","6.28","6.24","6.49","6.23","7.66M","1.08%"
"25/10/2021","6.22","6.21","6.27","6.16","4.44M","0.09%"
"22/10/2021","6.21","6.13","6.22","6.09","3.42M","1.19%"
